No,Zaman (UTC),Ref1,Kaynak Aç?klama 1,Enlem,Boylam,Derinlik,Sabit Derinlik,Kaynak No 2,Kaynak Aç?klama 2,Tip,Büyüklük,Kaynak No 3,Kaynak Aç?klama 3,Yer
6217,1988-04-24 20:49:36,0, ,40.8920,28.3170,15.00,-,41,EHB,Mw,5.3,10,HRVD-GCMT,-
6169,1988-01-14 18:35:55,0, ,39.9554,29.1570,7.80,-,5,ISC,mb,4.2,5,ISC,-
6163,1988-01-01 12:21:51,0, ,40.1365,29.2320,6.40,-,5,ISC,mb,4.5,5,ISC,-
6123,1987-10-27 03:15:31,0, ,40.4182,28.4575,17.70,-,5,ISC,mb,4.4,5,ISC,-
6091,1987-09-03 16:24:53,0, ,40.4566,29.2403,7.50,-,5,ISC,mb,4.0,5,ISC,-
6041,1987-04-24 16:34:30,0, ,40.4475,25.9719,4.60,-,5,ISC,Ml,4.0,15,ATH,-
5954,1986-10-26 04:49:30,0, ,40.8005,28.9930,10.00,-,5,ISC,Ml,4.6,15,ATH,-
5934,1986-09-12 10:34:50,0, ,40.2494,27.3151,5.00,-,5,ISC,Ml,4.1,15,ATH,-
5896,1986-06-27 18:33:37,0, ,40.8907,28.3459,5.00,-,5,ISC,mb,4.1,5,ISC,-
5852,1986-05-15 18:13:56,0, ,40.7203,27.5684,10.00,-,5,ISC,mb,4.6,14,NEIC,-
5770,1985-12-19 14:34:57,0, ,40.1958,27.2636,10.00,-,5,ISC,Ml,4.1,15,ATH,-
5735,1985-09-14 15:23:09,0, ,40.7249,29.1120,7.60,-,5,ISC,mb,4.7,14,NEIC,-
5696,1985-06-04 01:05:58,0, ,40.8584,27.8355,10.00,-,5,ISC,mb,4.1,5,ISC,-
5684,1985-04-27 12:33:07,0, ,40.7354,27.3803,9.10,-,5,ISC,mb,4.4,5,ISC,-
